title,budget,revenue,profit
Napoleon Dynamite,400000,46118097,45718097
Childless,1000000,0,-1000000
Æon Flux,62000000,53321673,-8678327
The Spiderwick Chronicles,90000000,164170327,74170327
American Beauty,15000000,356296601,341296601
Dancer in the Dark,12800000,40031879,27231879
8MM,40000000,96618699,56618699
Grand Theft Parsons,0,0,0
Perrier's Bounty,0,0,0
Amores perros,2000000,20908467,18908467
Jumper,85000000,222231186,137231186
A History of Violence,32000000,60740827,28740827
Blue Like Jazz,1250000,0,-1250000
Puss in Boots,130000000,554987477,424987477
Billy Elliot,5000000,109280263,104280263
Memento,9000000,39723096,30723096
The Open Road,0,0,0
The Spirit,60000000,39031337,-20968663
Gladiator,103000000,465361176,362361176
Match Point,15000000,85306374,70306374
Charlie and the Chocolate Factory,150000000,474968763,324968763
The Lord of the Rings: The Return of the King,94000000,1118888979,1024888979
Before I Go to Sleep,22000000,15447154,-6552846
千と千尋の神隠し,19000000,274925095,255925095
Heist,8900000,4100000,-4800000
Holes,20000000,0,-20000000
Step Up 2: The Streets,23000000,150816700,127816700
Where the Wild Things Are,100000000,100086793,86793
Donnie Darko,6000000,7500000,1500000
Io sono l'amore,3600000,12014663,8414663
"Hail, Caesar!",22000000,63647656,41647656
Lost in Translation,4000000,119723856,115723856
My Big Fat Greek Wedding,5000000,368744044,363744044
Kill the Messenger,5000000,5218973,218973
Ocean's Eleven,85000000,450717150,365717150
Ocean's Twelve,110000000,362744280,252744280
Ice Age: Dawn of the Dinosaurs,90000000,886686817,796686817
Cast Away,90000000,429632142,339632142
Kit Kittredge: An American Girl,0,0,0
28 Days Later,5000000,85720385,80720385
Superbad,20000000,121463226,101463226
Duplicity,60000000,78146652,18146652
The Interpreter,80000000,162944923,82944923
Minority Report,102000000,358372926,256372926
The Good German,32000000,5914908,-26085092
The Boondock Saints,6000000,30471,-5969529
Sin City,40000000,158733820,118733820
Sin City: A Dame to Kill For,65000000,39407616,-25592384
Astro Boy,10000000,19551067,9551067
Le Fabuleux Destin d'Amélie Poulain,10000000,173921954,163921954
Men in Black 3,225000000,624026776,399026776
How High,12000000,31155435,19155435
Hotel Rwanda,17500000,38000000,20500000
Vamps,16000000,0,-16000000
Saw III,10000000,163876815,153876815
The Proposition,2000000,5048693,3048693
Boys Don't Cry,2000000,11540607,9540607
I Spy,70000000,51386477,-18613523
The Legend of Hell's Gate: An American Conspiracy,0,0,0
About a Boy,27000000,129000000,102000000
The Switch,19000000,49830607,30830607
Dysfunctional Friends,1800000,0,-1800000
King Kong,207000000,562363449,355363449
Ayurveda: Art of Being,300000,2074000,1774000
The 6th Day,82000000,96085477,14085477
Never Back Down,20000000,41627431,21627431
Drillbit Taylor,40000000,0,-40000000
Enter Nowhere,0,0,0
The Other Side of Heaven,7000000,4720371,-2279629
Funny Games,15000000,7938872,-7061128
The Singles Ward,0,0,0
Underworld,22000000,95708457,73708457
John Q,36000000,102244770,66244770
Riding Giants,2600000,3166000,566000
Dave Chappelle's Block Party,3000000,11718595,8718595
Ink,250000,0,-250000
Terminator 3: Rise of the Machines,200000000,435000000,235000000
The Way Way Back,4600000,23198652,18598652
Insomnia,46000000,113714830,67714830
Mambo Italiano,4361898,3031801,-1330097
Faster,24000000,23081726,-918274
Snakes on a Plane,33000000,62022014,29022014
Independence Daysaster,1800000,0,-1800000
Jurassic Park III,93000000,368780809,275780809
Inspector Gadget,75000000,134400000,59400000
Magnolia,37000000,48451803,11451803
Good Bye Lenin!,4800000,79384880,74584880
The Devil Wears Prada,35000000,326551094,291551094
Rio 2,103000000,500188435,397188435
Insurgent,110000000,295238201,185238201
Allegiant,110000000,179246868,69246868
Tinker Tailor Soldier Spy,30000000,80630608,50630608
The Croods,135000000,587204668,452204668
The Change-Up,52000000,75450437,23450437
Man of Steel,225000000,754045518,529045518
R.I.P.D.,130000000,61648500,-68351500
Man on a Ledge,42000000,46221189,4221189
Shanghai Noon,55000000,56932305,1932305
AVP: Alien vs. Predator,70000000,177427090,107427090
Madea's Family Reunion,6000000,57231524,51231524
The Jungle Book,175000000,966550600,791550600
Garden State,2500000,26781723,24281723
The Straight Story,10000000,6203044,-3796956
The Heart of Me,7000000,0,-7000000
Philomena,12000000,100129872,88129872
The Life Aquatic with Steve Zissou,50000000,34808403,-15191597
Lottery Ticket,0,0,0
The Pianist,35000000,120072577,85072577
Ice Age,59000000,383257136,324257136
The History Boys,4000000,13401952,9401952
Master and Commander: The Far Side of the World,150000000,212011111,62011111
The Secret Life of Pets,75000000,875457937,800457937
The Day After Tomorrow,125000000,544272402,419272402
"María, llena eres de gracia",3000000,12450821,9450821
Diary of a Wimpy Kid,15000000,76196538,61196538
Detention of the Dead,500000,0,-500000
A Beautiful Mind,60000000,313542341,253542341
Ice Age: Continental Drift,95000000,877244782,782244782
Bringing Out the Dead,32000000,16800000,-15200000
Så som i himmelen,0,0,0
Planet 51,70000000,104945765,34945765
Growing Up Smith,0,0,0
Drag Me to Hell,30000000,90810892,60810892
