director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,language,content_rating,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,budget,revenue,profit,rate,budget_infl,gross_infl,profit_infl,normalized_profit,profit_str,budget_quartile,genre_count,Family,Musical,Documentary,Sport,Crime,Sci-Fi,History,Adventure,Western,Music,Mystery,Horror,Fantasy,Drama,News,Romance,Comedy,Biography,War,Action,Thriller,Animation,genre_list,ratings_G,ratings_NC-17,ratings_PG,ratings_PG-13,ratings_R,ratings_Unrated,director_count,directed_5_plus_no,directed_5_plus_yes,actor1_count,actor2_count,actor3_count,actor_count,features,sex,fighter,friendship,friend,immigrant,bus,mafia,corporation,breast,scenario,die,hard,stake,pastor,thug,humor,based,novel,drug,secret,death,mail,escape,alien,deaf,murder,lustepic,tale,bear,fish,british,arcade,wizard,mutant,fairy,toy,super,pirate,box,hit,sequel,egg,kong,panic,hawaii,forest,zeus,king,sword,magic,giant,first,part,farm,princess,graduation,accusation,battle,epic
Kinka Usher,121.0,18.0,776.0,Wes Studi,1000.0,Action|Comedy|Fantasy|Sci-Fi,Janeane Garofalo,Mystery Men,3986,Eddie Izzard,4.0,bowling|rajah|sphinx|spleen|superhero,http://www.imdb.com/title/tt0132347/?ref_=fn_tt_tt_1,English,PG-13,1999,855.0,6.0,1.85,0,68000000,29762011,-38237989,0.8637154979999999,7872962816.744548,3445811852.2726803,-4427150964.4718685,0.02965533515963023,Failure,100,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi']",0,0,0,1,0,0,1.0,1,0,1.0,1.0,1.0,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neil Jordan,102.0,277.0,57.0,Ian Hart,327.0,Drama|Romance,Stephen Rea,The End of the Affair,672,James Bolam,0.0,breasts|jealousy|obsession|sex scene|spiritual,http://www.imdb.com/title/tt0172396/?ref_=fn_tt_tt_1,English,R,1999,261.0,7.2,1.85,0,23000000,10827816,-12172184,0.8637154979999999,2662913893.8988914,1253632246.390466,-1409281647.5084255,0.03920525616460312,Failure,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"['Drama', 'Romance']",0,0,0,0,1,0,1.0,1,0,1.0,1.0,1.0,3.0,breast,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rob Reiner,95.0,0.0,323.0,Tim Matheson,13000.0,Comedy|Drama|Romance,Bruce Willis,The Story of Us,14706,Rita Wilson,1.0,four word title|husband wife relationship|male rear nudity|marriage|summer camp,http://www.imdb.com/title/tt0160916/?ref_=fn_tt_tt_1,English,R,1999,559.0,5.9,1.85,0,50000000,58900031,8900031,0.8637154979999999,5788943247.606286,6819378734.825018,1030435487.2187324,0.04692563881343382,Some Profits,75,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,"['Comedy', 'Drama', 'Romance']",0,0,0,0,1,0,1.0,1,0,1.0,1.0,1.0,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Lynch,112.0,0.0,201.0,Richard Farnsworth,874.0,Biography|Drama,Sissy Spacek,The Straight Story,1351,Everett McGill,0.0,cane|iowa|lawn mower|tractor|wisconsin,http://www.imdb.com/title/tt0166896/?ref_=fn_tt_tt_1,English,G,1999,262.0,8.0,2.35,0,10000000,6203044,-3796956,0.8637154979999999,1157788649.5212572,718181393.5680937,-439607255.95316344,0.042273750147376214,Failure,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['Biography', 'Drama']",1,0,0,0,0,0,1.0,1,0,1.0,1.0,1.0,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franco Zeffirelli,117.0,160.0,55.0,Joan Plowright,718.0,Comedy|Drama|War,Lily Tomlin,Tea with Mussolini,1148,Paolo Seganti,6.0,ambassador|american|art|english|italy,http://www.imdb.com/title/tt0120857/?ref_=fn_tt_tt_1,English,PG,1999,330.0,6.9,1.85,970,12000000,21001563,9001563,0.8637154979999999,1389346379.4255085,2431537126.3605604,1042190746.9350517,0.04696283784026138,Some Profits,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,"['Comedy', 'Drama', 'War']",0,0,1,0,0,0,1.0,1,0,1.0,1.0,1.0,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Raimi,137.0,0.0,432.0,Kelly Preston,24000.0,Drama|Romance|Sport,J.K. Simmons,For Love of the Game,25469,Carmine Giovinazzo,0.0,baseball|baseball movie|detroit tigers|perfect game|pitcher,http://www.imdb.com/title/tt0126916/?ref_=fn_tt_tt_1,English,PG-13,1999,743.0,6.5,2.35,0,50000000,46112640,-3887360,0.8637154979999999,5788943247.606286,5338869119.14599,-450074128.4602954,0.04224062816788878,Failure,75,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"['Drama', 'Romance', 'Sport']",0,0,0,1,0,0,1.0,1,0,1.0,1.0,1.0,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brian Helgeland,90.0,241.0,416.0,Deborah Kara Unger,1000.0,Action|Crime|Drama|Thriller,Bill Duke,Payback,3148,William Devane,1.0,anti hero|criminal|greed|prostitute|tough guy,http://www.imdb.com/title/tt0120784/?ref_=fn_tt_tt_1,English,R,1999,495.0,7.1,2.35,0,90000000,161626121,71626121,0.8637154979999999,10420097845.691315,18712888835.99493,8292790990.303617,0.0699070585106509,Some Profits,100,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,"['Action', 'Crime', 'Drama', 'Thriller']",0,0,0,0,1,0,1.0,1,0,1.0,1.0,1.0,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milos Forman,118.0,869.0,21.0,Gerry Becker,134.0,Biography|Comedy|Drama,Matt Price,Man on the Moon,209,Tom Dreesen,1.0,andy kaufman|comedian|eccentric|wrestler|wrestling,http://www.imdb.com/title/tt0125664/?ref_=fn_tt_tt_1,English,R,1999,27.0,7.4,2.35,0,82000000,47434430,-34565570,0.8637154979999999,9493866926.074308,5491904465.051061,-4001962461.023248,0.031000826363418547,Failure,100,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,"['Biography', 'Comedy', 'Drama']",0,0,0,0,1,0,1.0,1,0,1.0,1.0,1.0,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ulu Grosbard,106.0,22.0,613.0,Treat Williams,2000.0,Drama,Alexa PenaVega,The Deep End of the Ocean,4327,Jonathan Jackson,1.0,basketball|boy|italian|kidnapping a child|reunion,http://www.imdb.com/title/tt0120646/?ref_=fn_tt_tt_1,English,PG-13,1999,642.0,6.3,1.85,579,38000000,28121100,-9878900,0.8637154979999999,4399596868.180778,3255829039.2052226,-1143767828.9755547,0.04004546351833603,Failure,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,['Drama'],0,0,0,1,0,0,1.0,1,0,1.0,1.0,1.0,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Smith,130.0,0.0,769.0,Janeane Garofalo,13000.0,Adventure|Comedy|Drama|Fantasy,Matt Damon,Dogma,16693,George Carlin,8.0,abortion|abortion clinic|angel|church|clinic,http://www.imdb.com/title/tt0120655/?ref_=fn_tt_tt_1,English,R,1999,1000.0,7.4,2.35,10000,10000000,31429330,21429330,0.8637154979999999,1157788649.5212572,3638852153.6057935,2481063504.084536,0.05151609039157176,Some Profits,25,4,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,"['Adventure', 'Comedy', 'Drama', 'Fantasy']",0,0,0,0,1,0,1.0,1,0,1.0,2.0,1.0,4.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
