director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,language,country,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,News,Thriller,Fantasy,Comedy,Animation,History,Western,Music,Family,Short,Game-Show,Action,Sport,Drama,Mystery,Sci-Fi,Biography,Documentary,War,Film-Noir,Horror,Crime,Reality-TV,Musical,Adventure,Romance,budget,revenue,profit,rate,budget_infl,gross_infl,director_count,actor1_count,actor2_count,actor3_count,normalized_profit,content_rating_G,content_rating_NC-17,content_rating_PG,content_rating_PG-13,content_rating_R,content_rating_Unrated
Peter Hyams,121.0,0.0,595.0,Mark Margolis,1000.0,Action|Fantasy|Horror|Mystery,CCH Pounder,End of Days,3903,Udo Kier,0.0,atheist|ex cop|female masturbation|female nudity|lucifer,http://www.imdb.com/title/tt0146675/?ref_=fn_tt_tt_1,English,USA,1999,1000.0,5.7,2.35,2000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,100000000,211989043,12965964285.6148,0.8637154979999999,11577886495.212572,24543850780.82737,1.0,1.0,1.0,1.0,0.0969262835906736,0,0,0,0,1,0
Paul Weitz,95.0,80.0,1000.0,Shannon Elizabeth,3000.0,Comedy,Alyson Hannigan,American Pie,8134,Natasha Lyonne,6.0,1990s|first love|milf|prom|virginity,http://www.imdb.com/title/tt0163651/?ref_=fn_tt_tt_1,English,USA,1999,1000.0,7.0,1.85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000000,235483004,25990387404.163498,0.8637154979999999,1273567514.473383,27263954918.636883,1.0,1.0,1.0,1.0,0.19428962743150666,0,0,0,0,1,0
Lana Wachowski,136.0,0.0,99.0,Marcus Chong,18000.0,Action|Sci-Fi,Keanu Reeves,The Matrix,18563,Gloria Foster,3.0,artificial reality|computer|matrix|questioning reality|simulated reality,http://www.imdb.com/title/tt0133093/?ref_=fn_tt_tt_1,English,USA,1999,145.0,8.7,2.35,25000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63000000,463517383,46371447997.335815,0.8637154979999999,7294068491.98392,53665516489.31973,1.0,1.0,1.0,1.0,0.3466471017174777,0,0,0,0,1,0
Sam Mendes,122.0,0.0,158.0,Peter Gallagher,18000.0,Drama,Kevin Spacey,American Beauty,19078,Ara Celi,0.0,domestic violence|drug dealer|homosexuality|midlife crisis|unfaithfulness,http://www.imdb.com/title/tt0169547/?ref_=fn_tt_tt_1,English,USA,1999,828.0,8.4,2.35,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15000000,356296601,39514933075.79854,0.8637154979999999,1736682974.2818859,41251616050.08042,1.0,1.0,1.0,1.0,0.29539160934141123,0,0,0,0,1,0
Jan de Bont,113.0,101.0,913.0,Lili Taylor,14000.0,Fantasy|Horror|Mystery|Thriller,Liam Neeson,The Haunting,17786,Virginia Madsen,0.0,greenhouse|haunted house|horror movie remake|mansion|old house,http://www.imdb.com/title/tt0171363/?ref_=fn_tt_tt_1,English,USA,1999,960.0,4.9,2.35,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,80000000,91188905,1295438720.9571645,0.8637154979999999,9262309196.170055,10557747917.127222,1.0,1.0,1.0,1.0,0.009683924907104608,0,0,0,1,0,0
Frank Darabont,189.0,0.0,693.0,Jeffrey DeMunn,15000.0,Crime|Drama|Fantasy|Mystery,Tom Hanks,The Green Mile,17716,Michael Jeter,0.0,1930s|death row inmate|healing|prison guard|southern u.s.,http://www.imdb.com/title/tt0120689/?ref_=fn_tt_tt_1,English,USA,1999,745.0,8.5,1.85,30000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,60000000,286801374,26258805651.30256,0.8637154979999999,6946731897.1275425,33205537548.43009,1.0,1.0,1.0,1.0,0.19629617296918467,0,0,0,0,1,0
Robert Iscove,95.0,7.0,1000.0,Clea DuVall,23000.0,Comedy|Romance,Paul Walker,She's All That,28734,Kieran Culkin,2.0,bet|friend|high school|prom|prom queen,http://www.imdb.com/title/tt0160862/?ref_=fn_tt_tt_1,English,USA,1999,1000.0,5.8,1.85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10000000,103166989,10786768237.427185,0.8637154979999999,1157788649.5212572,11944556886.94844,1.0,1.0,1.0,1.0,0.08063582587096786,0,0,0,1,0,0
Jamie Babbit,85.0,91.0,849.0,Clea DuVall,1000.0,Comedy|Drama,Natasha Lyonne,But I'm a Cheerleader,4289,Eddie Cibrian,1.0,cheerleader|gay|homosexual|lesbian|lesbian relationship,http://www.imdb.com/title/tt0179116/?ref_=fn_tt_tt_1,English,USA,1999,1000.0,6.6,1.85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1200000,2600000,162090410.932976,0.8637154979999999,138934637.94255087,301025048.87552685,1.0,2.0,2.0,1.0,0.0012116432408892093,0,0,0,0,1,0
Rob Reiner,95.0,0.0,323.0,Tim Matheson,13000.0,Comedy|Drama|Romance,Bruce Willis,The Story of Us,14706,Rita Wilson,1.0,four word title|husband wife relationship|male rear nudity|marriage|summer camp,http://www.imdb.com/title/tt0160916/?ref_=fn_tt_tt_1,English,USA,1999,559.0,5.9,1.85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,50000000,58900031,1030435487.2187325,0.8637154979999999,5788943247.606286,6819378734.825018,1.0,1.0,1.0,1.0,0.007702908110386576,0,0,0,0,1,0
Justin Kerrigan,99.0,8.0,78.0,John Simm,798.0,Comedy|Music,Danny Dyer,Human Traffic,1430,Shaun Parkes,2.0,friday|friend|hip hop|techno rave|weekend,http://www.imdb.com/title/tt0188674/?ref_=fn_tt_tt_1,English,UK,1999,472.0,7.1,1.85,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600000,4000000,393648140.83722746,0.8637154979999999,69467318.97127543,463115459.80850285,1.0,1.0,1.0,1.0,0.002942640051301691,0,0,0,0,1,0
