color,director_name,duration,actor_2_name,actor_1_name,movie_title,actor_3_name,facenumber_in_poster,language,country,content_rating,budget,title_year,gross,aspect_ratio,Horror,Romance,Family,Animation,Reality-TV,Comedy,Thriller,Game-Show,Western,Film-Noir,Short,Drama,Crime,Musical,Biography,Mystery,Action,Sci-Fi,Sport,Music,History,Adventure,News,Documentary,Fantasy,War,rate,budget_infl,gross_infl,format,profit
Color,Missing,511,Ingvar Eggert SigurA�sson,A�lafur Darri A�lafsson,Trapped             ,BjA�rn Hlynur Haraldsson,0,Icelandic,Iceland,Missing,19950000,2005,25040293,16,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.392746845,588019115.8,738053681.7,Movie,22156530.81
Color,Missing,334,Nora von WaldstA�tten,Edgar RamA�rez,Carlos             ,Katharina SchA�ttler,0,English,France,Unrated,19950000,2005,145118,2.35,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.392746845,588019115.8,4277301.155,Movie,22156530.81
Color,Taylor Hackford,330,Jesse Borrego,Delroy Lindo,"Blood In, Blood Out ",Raymond Cruz,2,English,USA,R,35000000,1993,4496583,1.66,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.392746845,1031612484,132535175.9,Movie,-899077308
Color,Michael Cimino,325,Sam Waterston,Jeff Bridges,Heaven s Gate ,Isabelle Huppert,0,English,USA,R,44000000,1980,1500000,2.35,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.392746845,1296884265,44211963.6,Movie,-1252672302
Color,Chatrichalerm Yukol,300,Chatchai Plengpanich,Sarunyu Wongkrachang,The Legend of Suriyothai ,Mai Charoenpura,3,Thai,Thailand,R,400000000,2001,454255,1.85,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,3.392746845,11789856959,13389003.68,Movie,-11776467955
Color,Wolfgang Petersen,293,Martin Semmelrogge,JA�rgen Prochnow,Das Boot ,Herbert GrA�nemeyer,0,German,West Germany,R,14000000,1981,11433134,1.85,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.392746845,412644993.6,336987536.1,Movie,-75657457.43
Color,Francis Ford Coppola,289,Marlon Brando,Harrison Ford,Apocalypse Now ,Robert Duvall,1,English,USA,R,31500000,1979,78800000,2.35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.392746845,928451235.5,2322601821,Movie,1394150585
Color,Missing,286,Tom Hollander,Anna Silk,The Company             ,Alessandro Nivola,3,English,USA,Missing,19950000,2005,25040293,1.78,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.392746845,588019115.8,738053681.7,Movie,22156530.81
Color,Ron Maxwell,280,Bruce Boxleitner,Billy Campbell,Gods and Generals ,John Castle,0,English,USA,PG-13,56000000,2003,12870569,2.35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.392746845,1650579974,379355418.7,Movie,-1271224556
Color,Ron Maxwell,271,William Morgan Sheppard,Tom Berenger,Gettysburg ,James Patrick Stuart,0,English,USA,PG,25000000,1993,10769960,1.85,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.392746845,736866059.9,317440719.6,Movie,-419425340.3
Color,Peter Flinth,270,Michael Nyqvist,Gustaf SkarsgA�rd,Arn: The Knight Templar ,Vincent Perez,1,Swedish,Sweden,Missing,25000000,2007,25040293,2.35,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,3.392746845,736866059.9,738053681.7,Movie,22156530.81
Color,Joseph L. Mankiewicz,251,Richard Burton,Martin Landau,Cleopatra ,Roddy McDowall,2,English,UK,Unrated,31115000,1963,57750000,2.2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.392746845,917103498.2,1702160598,Movie,785057100.2
